	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jul 12 22:59:25 2025

	Auto Mode
	Using maximum file size of 512000 kilobytes.
	Command line used: iozone -a -g 500m
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            4096       4   952331  1732748  6086096  3897601  4108241  1780886  4958393   2269226   4612286  1984550  1692463  5980170  6122971
            4096       8  1151866  3158176  9435311  5504946  6281934  2666933  5312585   3321831   7209932  3052133  2370354  7173805  9966244
            4096      16  1346405  3601796 13604523  9119767 12450933  4227532 10239486   5535098  12334720  3112404  4274869 14026607 14318876
            4096      32  1272412  4718699 14941541  7301864 10344298  4361695 14330820   4796426  12343583  4100397  3276846 15059417 11477688
            4096      64  1219744  4039655 14414991  8062616 11531617  4708354 11809047   8944095  16179861  5535098  5867831 20192470 12919082
            4096     128  1430129  4125010 20678564  9588020 21779595  6361016 20803766   9663524  22521946  6351609  5681538 21918530 14673544
            4096     256  1425146  4235870 22144551 11982006 15112405  4977067 13702178   9373535  23540333  6160296  6585338 23285086 16134276
            4096     512  1522659  6005255 13086376  8695120 12606249  4394046 14177082   8642630  23933871  5581856  6103394 18030821 20678564
            4096    1024  1371229  4078979 12880338 13423810 23834258  6897314 22288196   8775063  21110529  7339297  6461498 21110529 23285086
            4096    2048  1500450  5744227 11736440 15749706 24101756  6989921 20778605   7683972  24409960  4607338 10691939 21007275 23159527
            4096    4096  1411447  4266376  7123239 22144551 23004469  6358661 12487133   5657217  11222762  5056165  4149921  9636422 12083134
            8192       4   944862  1729330  4765695  4108146  4155847  1734831  3703433   2245616   3984289  1742662  1861327  4988488  5221205
            8192       8  1119581  2627332  7218727  5634770  6420214  2676241  6542461   3778367   5979968  2748162  2468051  6022946  7939297
            8192      16  1289837  3001687  7346838  7124429  9246914  3663551  9342456   5475825   9868367  3148282  3231483  9980156 10356163
            8192      32  1367616  3851640 10836280  8376734 12665757  4708228 10488942   7468200  12981586  4798976  4612784 11960341 14659806
            8192      64  1371054  4444522 13816816  7809376 11013422  4876623 12280959   8752276  14572760  4092001  5337181 10003400 10100441
            8192     128  1417784  4143818 14554242  9820419 16254918  5509188 13979843   9579481  16057410  4275829  5440277 15224943 12703218
            8192     256  1441275  4354953 11222050  9627797 15784476  5553712 12586880   9515809  15258749  4508083  5760412 14548080 16095019
            8192     512  1229117  4929091 12759828  9234488 14002632  5509188 11977018   8779111  17207351  4873856  5227560 11503841 14572760
            8192    1024  1437657  4320998 13883812  9988860 15340499  5784656 12245943   8490582  19133327  5284645  5761377 11084481 10751510
            8192    2048  1176187  2998544  9194949  7373641 11013422  4013610 11423523   6753351  22878950  3705031  5357988  9977258 11939561
            8192    4096  1376106  4721167  7550253 10711290 12879400  4979812  9614327   6765318   9175306  4479286  5810089  9214676 11703682
            8192    8192  1319609  4029614  6475875  8828739  9568810  4442223  8079310   4525898   9309549  4760413  4576535 10778492 10981742
           16384       4   930643  1833457  4625454  3567099  4186942  1659497  3851382   2254590   3838689  1734691  1758124  4375975  4743263
           16384       8  1109581  2574456  6588127  5288633  6037129  2500908  5428590   3775213   6168821  2504463  2590762  6365386  6692713
           16384      16  1253849  3019998  8948074  6301760  8123056  3295296  7282069   5540639   7180114  3345673  3144076  9041077  7575060
           16384      32  1300746  3516536  9072110  6720201  9168947  3663708  9410010   7440550   8809279  3532625  3590583  9746329  9758786
           16384      64  1339748  4091953 10409194  7154697  9834199  3846855  9329526   8908634  10227930  3993274  3891733 10318540 11387189
           16384     128  1304771  4720455 11795703  8027220 10742780  3607169 11377762   7001613  11093080  3153744  3502377 11838376 12234618
           16384     256  1301337  3996990 12593352  8427902 13182819  3820974 11871097   7802110  11594690  3835261  3428293 11628043 12090398
           16384     512  1377480  4670408  9700926  8283641 13769215  4952824 12171775   9711894  14065126  4217262  3863074 12651313 12790240
           16384    1024  1329330  4346911 10944673  8031911 11777509  4670408 10270732   9746329  24756587  4105399  3658053 12037452 12438351
           16384    2048  1371377  4457150 10965630  8184002 11046716  4525840 10835947   9081702  19391434  5110468  5443210 11417460 12869284
           16384    4096  1406721  4876209  9400999  9127540 10751183  4335666 11168803   6406929  12869284  5295561  5726715  9282896 11069849
           16384    8192  1403675  4987331  9367679  9610032 11803808  4803607  9319404   4999668   9204562  5050375  6306387  8354133  9717387
           16384   16384  1311144  4367909  6775862  9072110  7858319  4278973  7956584   4099032   7797684  4371243  4417609  8899405  8591217
           32768      64  1340085  4474680  9971768  7571223 10297516  4032501 10372903   8406666  10054935  3969951  4158414  9230406 10698297
           32768     128  1371676  4714109 10962836  7935821 11846341  4231911 10272118   9575755  11275834  4125957  4146871 10751020 10832365
           32768     256  1377615  4155271 11018205  7562475 12212664  3927522  9799005   7500158  10934055  3931342  4114962  8535623  8987751
           32768     512  1301914  4230217 10259083  6547266 10002248  4349911  9960206   9089994  10405888  4128435  4420281 11405906 10889871
           32768    1024  1384136  4359293  9405377  6830688  9617972  4288560 11461072   8393318   9384185  4122862  4150503 11985809 12232229
           32768    2048  1337360  4383066  9503581  6948096  9584436  4276683  9400231   9405377  23709429  4409644  4149375  8705938  9787143
           32768    4096  1327017  4118662  9517402  7495250  9691216  4275486  9470184   7947753  16702175  3673580  3021778  8241817  9553125
           32768    8192  1302124  4026122  9595142  7175168  9671439  4009327  9287792   4769071   9158441  4094856  4033447  8794513  8756412
